"combinacao","n_genes","status"
"XPC_STAT1_STAT2_IRF9_ELK1",0,"insuficiente (n=0 < 5)"
"XPC_STAT1_STAT2_IRF9",87,"enriquecido (0 termos sig.)"
"STAT1_STAT2_IRF9_ELK1",9,"enriquecido (0 termos sig.)"
"XPC_STAT1_STAT2_ELK1",5,"enriquecido (0 termos sig.)"
"XPC_STAT1_IRF9_ELK1",0,"insuficiente (n=0 < 5)"
"XPC_STAT2_IRF9_ELK1",0,"insuficiente (n=0 < 5)"
"STAT1_STAT2_IRF9",997,"enriquecido (>=1 termo sig.)"
"XPC_STAT1_STAT2",844,"enriquecido (>=1 termo sig.)"
"STAT1_STAT2_ELK1",187,"enriquecido (0 termos sig.)"
"XPC_STAT1_IRF9",87,"enriquecido (0 termos sig.)"
"XPC_STAT2_IRF9",87,"enriquecido (0 termos sig.)"
"STAT1_IRF9_ELK1",9,"enriquecido (0 termos sig.)"
"STAT2_IRF9_ELK1",9,"enriquecido (0 termos sig.)"
"XPC_STAT1_ELK1",6,"enriquecido (0 termos sig.)"
"XPC_STAT2_ELK1",5,"enriquecido (0 termos sig.)"
"XPC_IRF9_ELK1",0,"insuficiente (n=0 < 5)"
"STAT1_STAT2",17679,"enriquecido (>=1 termo sig.)"
"STAT2_IRF9",1002,"enriquecido (>=1 termo sig.)"
"STAT1_IRF9",1001,"enriquecido (>=1 termo sig.)"
"XPC_STAT1",915,"enriquecido (>=1 termo sig.)"
"XPC_STAT2",859,"enriquecido (>=1 termo sig.)"
"STAT1_ELK1",193,"enriquecido (>=1 termo sig.)"
"STAT2_ELK1",193,"enriquecido (0 termos sig.)"
"XPC_IRF9",87,"enriquecido (0 termos sig.)"
"IRF9_ELK1",9,"enriquecido (0 termos sig.)"
"XPC_ELK1",7,"enriquecido (0 termos sig.)"
