"GSM","Antibody"
"GSM6600679","H3K4me3 (abcam, ab8580)"
"GSM6600680","none"
"GSM6600681","H3K4me3 (abcam, ab8580)"
"GSM6600682","none"
"GSM6600683","H3K4me3 (abcam, ab8580)"
"GSM6600684","none"
"GSM6600685","H3K4me3 (abcam, ab8580)"
"GSM6600686","none"
"GSM6600687","H3K4me3 (abcam, ab8580)"
"GSM6600688","none"
"GSM6600689","H3K4me3 (abcam, ab8580)"
"GSM6600690","none"
"GSM6600691","H3K4me3 (abcam, ab8580)"
"GSM6600692","none"
"GSM6600693","H3K4me3 (abcam, ab8580)"
"GSM6600694","none"
"GSM6600695","H3K4me3 (abcam, ab8580)"
"GSM6600696","none"
"GSM6600697","H3K4me3 (abcam, ab8580)"
"GSM6600698","none"
"GSM6600699","H3K4me3 (abcam, ab8580)"
"GSM6600700","none"
"GSM6600701","H3K4me3 (abcam, ab8580)"
"GSM6600702","none"
"GSM6600703","H3K4me3 (abcam, ab8580)"
"GSM6600704","none"
"GSM6600705","H3K4me3 (abcam, ab8580)"
"GSM6600706","none"
"GSM6600707","H3K4me3 (abcam, ab8580)"
"GSM6600708","none"
"GSM6600709","H3K4me3 (abcam, ab8580)"
"GSM6600710","none"
"GSM6600711","H3K4me3 (abcam, ab8580)"
"GSM6600712","none"
"GSM6600713","H3K4me3 (abcam, ab8580)"
"GSM6600714","none"
"GSM6600715","XPC (Invitrogen, PA5-97019)"
"GSM6600716","XPC (Invitrogen, PA5-97019)"
"GSM6600717","XPC (Invitrogen, PA5-97019)"
"GSM6600718","XPC (Invitrogen, PA5-97019)"
"GSM6600719","XPC (Invitrogen, PA5-97019)"
"GSM6600720","XPC (Invitrogen, PA5-97019)"
"GSM6600721","XPC (Invitrogen, PA5-97019)"
"GSM6600722","XPC (Invitrogen, PA5-97019)"
"GSM6600723","XPC (Invitrogen, PA5-97019)"
"GSM6600724","XPC (Invitrogen, PA5-97019)"
"GSM6600725","XPC (Invitrogen, PA5-97019)"
"GSM6600726","XPC (Invitrogen, PA5-97019)"
"GSM6600727","XPC (Invitrogen, PA5-97019)"
"GSM6600728","XPC (Invitrogen, PA5-97019)"
"GSM6600729","XPC (Invitrogen, PA5-97019)"
"GSM6600730","XPC (Invitrogen, PA5-97019)"
"GSM6600731","XPC (Invitrogen, PA5-97019)"
"GSM6600732","XPC (Invitrogen, PA5-97019)"
"GSM6600733","XPC (Invitrogen, PA5-97019)"
"GSM6600734","XPC (Invitrogen, PA5-97019)"
"GSM6600735","XPC (Invitrogen, PA5-97019)"
"GSM6600736","XPC (Invitrogen, PA5-97019)"
"GSM6600737","XPC (Invitrogen, PA5-97019)"
"GSM6600738","XPC (Invitrogen, PA5-97019)"
"GSM6600739","XPC (Invitrogen, PA5-97019)"
"GSM6928563","phospho-STAT1 (CST, #7649)"
"GSM6928564","phospho-STAT1 (CST, #7649)"
"GSM6928565","phospho-STAT1 (CST, #7649)"
"GSM6928566","phospho-STAT1 (CST, #7649)"
"GSM6928567","phospho-STAT1 (CST, #7649)"
"GSM6928568","phospho-STAT1 (CST, #7649)"
"GSM6928569","phospho-STAT1 (CST, #7649)"
"GSM6928570","phospho-STAT1 (CST, #7649)"
"GSM6928571","phospho-STAT1 (CST, #7649)"
"GSM6928572","phospho-STAT1 (CST, #7649)"
"GSM6928573","phospho-STAT1 (CST, #7649)"
"GSM6928574","phospho-STAT1 (CST, #7649)"
"GSM6928575","phospho-STAT1 (CST, #7649)"
"GSM6928576","phospho-STAT1 (CST, #7649)"
"GSM6928577","phospho-STAT1 (CST, #7649)"
"GSM6928578","phospho-STAT1 (CST, #7649)"
"GSM6928579","phospho-STAT1 (CST, #7649)"
"GSM6928580","phospho-STAT1 (CST, #7649)"
"GSM6928581","phospho-STAT1 (CST, #7649)"
"GSM6928582","phospho-STAT1 (CST, #7649)"
"GSM6928583","phospho-STAT2 (CST, #88410)"
"GSM6928584","phospho-STAT2 (CST, #88410)"
"GSM6928585","phospho-STAT2 (CST, #88410)"
"GSM6928586","phospho-STAT2 (CST, #88410)"
"GSM6928587","phospho-STAT2 (CST, #88410)"
"GSM6928588","phospho-STAT2 (CST, #88410)"
"GSM6928589","phospho-STAT2 (CST, #88410)"
"GSM6928590","phospho-STAT2 (CST, #88410)"
"GSM6928591","phospho-STAT2 (CST, #88410)"
"GSM6928592","phospho-STAT2 (CST, #88410)"
"GSM6928593","phospho-STAT2 (CST, #88410)"
"GSM6928594","phospho-STAT2 (CST, #88410)"
"GSM6928595","IRF9 (CST, #76684)"
"GSM6928596","IRF9 (CST, #76684)"
"GSM6928597","IRF9 (CST, #76684)"
"GSM6928598","IRF9 (CST, #76684)"
"GSM6928599","IRF9 (CST, #76684)"
"GSM6928600","IRF9 (CST, #76684)"
"GSM6928601","IRF9 (CST, #76684)"
"GSM6928602","IRF9 (CST, #76684)"
"GSM6928603","IRF9 (CST, #76684)"
"GSM6928604","IRF9 (CST, #76684)"
"GSM6928605","IRF9 (CST, #76684)"
"GSM6928606","IRF9 (CST, #76684)"
"GSM6928607","IRF9 (CST, #76684)"
"GSM6928608","IRF9 (CST, #76684)"
"GSM6928609","IRF9 (CST, #76684)"
"GSM6928610","IRF9 (CST, #76684)"
"GSM6928611","IRF9 (CST, #76684)"
"GSM6928612","IRF9 (CST, #76684)"
"GSM6928613","IRF9 (CST, #76684)"
"GSM6928614","IRF9 (CST, #76684)"
"GSM6928615","IRF1, (CST, #8478)"
"GSM6928616","IRF1, (CST, #8478)"
"GSM6928617","IRF1, (CST, #8478)"
"GSM6928618","IRF1, (CST, #8478)"
"GSM6928619","IRF1, (CST, #8478)"
"GSM6928620","IRF1, (CST, #8478)"
"GSM6928621","IRF1, (CST, #8478)"
"GSM6928622","IRF1, (CST, #8478)"
"GSM6928623","IRF1, (CST, #8478)"
"GSM6928624","IRF1, (CST, #8478)"
"GSM6928625","IRF1, (CST, #8478)"
"GSM6928626","IRF1, (CST, #8478)"
"GSM6928627","IRF1, (CST, #8478)"
"GSM6928628","IRF1, (CST, #8478)"
"GSM6928629","IRF1, (CST, #8478)"
"GSM6928630","IRF1, (CST, #8478)"
"GSM6928631","IRF1, (CST, #8478)"
"GSM6928632","IRF1, (CST, #8478)"
"GSM6928633","IRF1, (CST, #8478)"
"GSM6928634","IRF1, (CST, #8478)"
"GSM6928635","none"
"GSM6928636","none"
"GSM6928637","none"
"GSM6928638","none"
"GSM6928639","none"
"GSM6928640","none"
"GSM6928641","none"
"GSM6928642","none"
"GSM6928643","none"
"GSM6928644","none"
"GSM7899483","IRF9 (SantaCruz, #sc-10793)"
"GSM7899484","IRF9 (SantaCruz, #sc-10793)"
"GSM7899485","IRF9 (SantaCruz, #sc-10793)"
"GSM7899486","IRF9 (SantaCruz, #sc-10793)"
"GSM7899487","IRF9 (SantaCruz, #sc-10793)"
"GSM7899488","IRF9 (SantaCruz, #sc-10793)"
"GSM7899489","IRF9 (SantaCruz, #sc-10793)"
"GSM7899496","STAT1 (SantaCruz, #sc-346)"
"GSM7899497","STAT1 (SantaCruz, #sc-346)"
"GSM7899499","STAT1 (SantaCruz, #sc-346)"
"GSM7899500","STAT1 (SantaCruz, #sc-346)"
"GSM7899504","STAT1 (SantaCruz, #sc-346)"
"GSM7899513","STAT2 (SantaCruz, #sc-839)"
"GSM7899514","STAT2 (SantaCruz, #sc-839)"
"GSM7899517","STAT2 (SantaCruz, #sc-839)"
"GSM7899521","STAT2 (SantaCruz, #sc-839)"
"GSM7899522","STAT2 (SantaCruz, #sc-839)"
"GSM7899527","IRF9 (SantaCruz, #sc-10793)"
"GSM7899528","IRF9 (SantaCruz, #sc-10793)"
"GSM7899529","IRF9 (SantaCruz, #sc-10793)"
"GSM7899533","IRF9 (SantaCruz, #sc-10793)"
"GSM7899536","IRF9 (SantaCruz, #sc-10793)"
"GSM7899548","STAT2 (SantaCruz, #sc-839)"
"GSM7899549","STAT2 (SantaCruz, #sc-839)"
"GSM7899554","STAT2 (SantaCruz, #sc-839)"
"GSM7899555","STAT2 (SantaCruz, #sc-839)"
"GSM7899491","IRF9 (SantaCruz, #sc-10793)"
"GSM7899502","STAT1 (SantaCruz, #sc-346)"
"GSM7899538","IRF9 (SantaCruz, #sc-10793)"
"GSM7899526","IRF9 (SantaCruz, #sc-10793)"
"GSM7899535","IRF9 (SantaCruz, #sc-10793)"
"GSM7899537","IRF9 (SantaCruz, #sc-10793)"
"GSM7899550","STAT2 (SantaCruz, #sc-839)"
"GSM7899552","STAT2 (SantaCruz, #sc-839)"
"GSM7899553","STAT2 (SantaCruz, #sc-839)"
"GSM7899557","STAT2 (SantaCruz, #sc-839)"
"GSM7899558","STAT2 (SantaCruz, #sc-839)"
"GSM7899501","STAT1 (SantaCruz, #sc-346)"
"GSM7899505","STAT1 (SantaCruz, #sc-346)"
"GSM7899506","STAT1 (SantaCruz, #sc-346)"
"GSM7899508","pSTAT2 (CST, #88410)"
"GSM7899509","pSTAT2 (CST, #88410)"
"GSM7899510","pSTAT2 (CST, #88410)"
"GSM7899512","pSTAT2 (CST, #88410)"
"GSM7899516","STAT2 (SantaCruz, #sc-839)"
"GSM7899518","STAT2 (SantaCruz, #sc-839)"
"GSM7899519","STAT2 (SantaCruz, #sc-839)"
"GSM7899523","STAT2 (SantaCruz, #sc-839)"
"GSM7899525","STAT2 (SantaCruz, #sc-839)"
"GSM7899531","IRF9 (SantaCruz, #sc-10793)"
"GSM7899532","IRF9 (SantaCruz, #sc-10793)"
"GSM7899540","pSTAT2 (CST, #88410)"
"GSM7899541","pSTAT2 (CST, #88410)"
"GSM7899543","pSTAT2 (CST, #88410)"
"GSM7899544","pSTAT2 (CST, #88410)"
"GSM7899545","pSTAT2 (CST, #88410)"
"GSM7899547","pSTAT2 (CST, #88410)"
"GSM7899559","IRF9 (CST, #76684)"
"GSM7899561","IRF9 (CST, #76684)"
"GSM7899562","IRF9 (CST, #76684)"
"GSM7899563","IRF9 (CST, #76684)"
"GSM7899565","IRF9 (CST, #76684)"
"GSM7899566","IRF9 (CST, #76684)"
"GSM7899567","IRF9 (CST, #76684)"
"GSM7899569","IRF9 (CST, #76684)"
"GSM7899570","pSTAT2 (CST, #88410)"
"GSM7899571","pSTAT2 (CST, #88410)"
"GSM7899573","pSTAT2 (CST, #88410)"
"GSM7899574","pSTAT2 (CST, #88410)"
"GSM7899575","pSTAT2 (CST, #88410)"
"GSM7899577","pSTAT2 (CST, #88410)"
"GSM7899578","pSTAT2 (CST, #88410)"
"GSM7899580","pSTAT2 (CST, #88410)"
"GSM7899581","STAT2 (CST, #72604)"
"GSM7899582","STAT2 (CST, #72604)"
"GSM7899584","STAT2 (CST, #72604)"
"GSM7899585","STAT2 (CST, #72604)"
"GSM7899586","STAT2 (CST, #72604)"
"GSM7899588","STAT2 (CST, #72604)"
"GSM7899589","STAT2 (CST, #72604)"
"GSM7899591","STAT2 (CST, #72604)"
"GSM7899592","none"
"GSM7899593","none"
"GSM7899595","none"
"GSM7899596","none"
"GSM7899492","pSTAT1 (CST, #7649)"
"GSM7899493","pSTAT1 (CST, #7649)"
"GSM7899494","pSTAT1 (CST, #7649)"
"GSM7899495","pSTAT1 (CST, #7649)"
"GSM2423754","ELK1"
"GSM2423755","ELK1"
